<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.03.01 04:00:00 0.67601 0.67630 0.67552 0.67586 579 0 6
2022.03.01 04:30:00 0.67586 0.67629 0.67580 0.67601 507 0 6
2022.03.01 05:00:00 0.67601 0.67605 0.67513 0.67551 575 0 5
2022.03.01 05:30:00 0.67552 0.67561 0.67484 0.67523 771 0 7
2022.03.01 06:00:00 0.67523 0.67591 0.67507 0.67573 655 0 7
2022.03.01 06:30:00 0.67573 0.67599 0.67554 0.67599 654 0 7
2022.03.01 07:00:00 0.67599 0.67623 0.67594 0.67620 318 0 2
2022.03.01 07:30:00 0.67619 0.67655 0.67619 0.67646 356 0 2
2022.03.01 08:00:00 0.67646 0.67736 0.67637 0.67732 440 0 2
2022.03.01 08:30:00 0.67732 0.67755 0.67700 0.67755 645 0 4
2022.03.01 09:00:00 0.67760 0.67880 0.67751 0.67832 1326 0 3
2022.03.01 09:30:00 0.67832 0.67851 0.67783 0.67838 1170 0 5
2022.03.01 10:00:00 0.67842 0.67883 0.67793 0.67818 1461 0 5
2022.03.01 10:30:00 0.67819 0.67892 0.67811 0.67890 1132 0 4
2022.03.01 11:00:00 0.67890 0.67906 0.67813 0.67813 1158 0 4
2022.03.01 11:30:00 0.67814 0.67856 0.67718 0.67718 1299 0 3
2022.03.01 12:00:00 0.67718 0.67731 0.67605 0.67703 1231 0 2
2022.03.01 12:30:00 0.67703 0.67748 0.67636 0.67692 1455 0 1
2022.03.01 13:00:00 0.67692 0.67763 0.67671 0.67721 1545 0 4
2022.03.01 13:30:00 0.67722 0.67765 0.67718 0.67734 1067 0 4
2022.03.01 14:00:00 0.67734 0.67794 0.67713 0.67774 1072 0 3
2022.03.01 14:30:00 0.67774 0.67774 0.67657 0.67685 1251 0 4
2022.03.01 15:00:00 0.67683 0.67736 0.67662 0.67716 1765 0 3
2022.03.01 15:30:00 0.67715 0.67776 0.67696 0.67765 2001 0 3
2022.03.01 16:00:00 0.67764 0.67773 0.67702 0.67743 1544 0 5
2022.03.01 16:30:00 0.67742 0.67777 0.67704 0.67722 1887 0 3
2022.03.01 17:00:00 0.67726 0.67766 0.67639 0.67690 2604 0 2
2022.03.01 17:30:00 0.67690 0.67726 0.67594 0.67684 2238 0 1
2022.03.01 18:00:00 0.67684 0.67684 0.67584 0.67608 1690 0 2
2022.03.01 18:30:00 0.67612 0.67616 0.67522 0.67543 1778 0 1
2022.03.01 19:00:00 0.67543 0.67577 0.67472 0.67523 1629 0 2
2022.03.01 19:30:00 0.67525 0.67684 0.67513 0.67568 1930 0 3
2022.03.01 20:00:00 0.67568 0.67617 0.67504 0.67513 1406 0 2
2022.03.01 20:30:00 0.67513 0.67627 0.67511 0.67577 1869 0 2
2022.03.01 21:00:00 0.67576 0.67581 0.67402 0.67474 1790 0 2
2022.03.01 21:30:00 0.67474 0.67561 0.67434 0.67474 1465 0 3
2022.03.01 22:00:00 0.67470 0.67562 0.67439 0.67524 1083 0 3
2022.03.01 22:30:00 0.67524 0.67569 0.67474 0.67543 1651 0 1
2022.03.01 23:00:00 0.67545 0.67651 0.67544 0.67578 954 0 7
2022.03.01 23:30:00 0.67578 0.67578 0.67539 0.67553 325 0 9
2022.03.02 00:00:00 0.67524 0.67536 0.67444 0.67462 158 0 46
2022.03.02 00:30:00 0.67481 0.67569 0.67454 0.67511 216 0 40
2022.03.02 01:00:00 0.67514 0.67571 0.67499 0.67563 294 0 17
2022.03.02 01:30:00 0.67564 0.67662 0.67559 0.67657 245 0 16
2022.03.02 02:00:00 0.67657 0.67700 0.67625 0.67677 602 0 8
2022.03.02 02:30:00 0.67677 0.67677 0.67592 0.67645 315 0 8
2022.03.02 03:00:00 0.67645 0.67675 0.67602 0.67648 427 0 5
2022.03.02 03:30:00 0.67647 0.67725 0.67640 0.67712 496 0 5
2022.03.02 04:00:00 0.67712 0.67791 0.67669 0.67720 444 0 7
2022.03.02 04:30:00 0.67722 0.67821 0.67720 0.67785 359 0 6
2022.03.02 05:00:00 0.67787 0.67809 0.67718 0.67722 326 0 6
2022.03.02 05:30:00 0.67722 0.67731 0.67688 0.67730 277 0 8
2022.03.02 06:00:00 0.67731 0.67770 0.67720 0.67731 573 0 5
2022.03.02 06:30:00 0.67730 0.67744 0.67698 0.67714 696 0 8
2022.03.02 07:00:00 0.67714 0.67723 0.67691 0.67723 499 0 3
2022.03.02 07:30:00 0.67723 0.67740 0.67696 0.67711 667 0 7
2022.03.02 08:00:00 0.67709 0.67731 0.67696 0.67702 759 0 6
2022.03.02 08:30:00 0.67702 0.67711 0.67600 0.67608 943 0 4
2022.03.02 09:00:00 0.67608 0.67651 0.67556 0.67647 1248 0 2
2022.03.02 09:30:00 0.67647 0.67664 0.67574 0.67593 1569 0 6
2022.03.02 10:00:00 0.67595 0.67710 0.67589 0.67654 2139 0 4
2022.03.02 10:30:00 0.67654 0.67657 0.67554 0.67588 1123 0 5
2022.03.02 11:00:00 0.67586 0.67595 0.67532 0.67582 1241 0 5
2022.03.02 11:30:00 0.67582 0.67675 0.67553 0.67613 1919 0 4
2022.03.02 12:00:00 0.67611 0.67628 0.67550 0.67615 1180 0 4
2022.03.02 12:30:00 0.67615 0.67650 0.67584 0.67613 1351 0 4
2022.03.02 13:00:00 0.67610 0.67678 0.67594 0.67677 1232 0 4
2022.03.02 13:30:00 0.67678 0.67705 0.67613 0.67681 1184 0 3
2022.03.02 14:00:00 0.67681 0.67721 0.67628 0.67673 1206 0 4
2022.03.02 14:30:00 0.67672 0.67756 0.67640 0.67753 1310 0 5
2022.03.02 15:00:00 0.67754 0.67758 0.67649 0.67693 1474 0 1
2022.03.02 15:30:00 0.67693 0.67751 0.67662 0.67715 1485 0 4
2022.03.02 16:00:00 0.67715 0.67768 0.67648 0.67763 1426 0 3
2022.03.02 16:30:00 0.67762 0.67771 0.67680 0.67737 1658 0 2
2022.03.02 17:00:00 0.67737 0.67768 0.67563 0.67646 1996 0 2
2022.03.02 17:30:00 0.67642 0.67663 0.67439 0.67466 2958 0 3
2022.03.02 18:00:00 0.67466 0.67668 0.67442 0.67647 2181 0 3
2022.03.02 18:30:00 0.67649 0.67833 0.67637 0.67776 2901 0 3
2022.03.02 19:00:00 0.67776 0.67819 0.67704 0.67733 1482 0 4
2022.03.02 19:30:00 0.67733 0.67805 0.67721 0.67783 1027 0 2
2022.03.02 20:00:00 0.67785 0.67915 0.67740 0.67864 1420 0 1
2022.03.02 20:30:00 0.67865 0.67973 0.67853 0.67937 1302 0 1
2022.03.02 21:00:00 0.67936 0.67993 0.67919 0.67941 1031 0 4
2022.03.02 21:30:00 0.67941 0.67982 0.67817 0.67833 1269 0 3
2022.03.02 22:00:00 0.67833 0.67919 0.67833 0.67908 1130 0 4
2022.03.02 22:30:00 0.67908 0.67943 0.67893 0.67935 1036 0 1
2022.03.02 23:00:00 0.67935 0.67942 0.67870 0.67872 630 0 8
2022.03.02 23:30:00 0.67872 0.67885 0.67858 0.67861 248 0 13
2022.03.03 00:00:00 0.67849 0.67862 0.67826 0.67849 128 0 35
2022.03.03 00:30:00 0.67851 0.67851 0.67791 0.67801 94 0 29
2022.03.03 01:00:00 0.67801 0.67876 0.67762 0.67805 240 0 31
2022.03.03 01:30:00 0.67804 0.67824 0.67802 0.67804 122 0 34
2022.03.03 02:00:00 0.67804 0.67846 0.67778 0.67778 565 0 8
2022.03.03 02:30:00 0.67778 0.67793 0.67752 0.67763 569 0 2
2022.03.03 03:00:00 0.67764 0.67768 0.67694 0.67714 896 0 5
2022.03.03 03:30:00 0.67712 0.67741 0.67689 0.67702 651 0 7
2022.03.03 04:00:00 0.67702 0.67707 0.67613 0.67659 974 0 5
2022.03.03 04:30:00 0.67659 0.67731 0.67654 0.67726 546 0 6
2022.03.03 05:00:00 0.67726 0.67730 0.67671 0.67682 462 0 5
2022.03.03 05:30:00 0.67681 0.67712 0.67670 0.67712 279 0 7
2022.03.03 06:00:00 0.67712 0.67766 0.67712 0.67764 326 0 7
2022.03.03 06:30:00 0.67764 0.67792 0.67754 0.67759 320 0 6
2022.03.03 07:00:00 0.67759 0.67813 0.67752 0.67799 384 0 5
2022.03.03 07:30:00 0.67800 0.67835 0.67795 0.67808 432 0 4
2022.03.03 08:00:00 0.67811 0.67867 0.67788 0.67825 408 0 5
2022.03.03 08:30:00 0.67826 0.67907 0.67809 0.67876 460 0 2
2022.03.03 09:00:00 0.67879 0.67919 0.67850 0.67877 665 0 4
2022.03.03 09:30:00 0.67877 0.67878 0.67798 0.67838 875 0 5
2022.03.03 10:00:00 0.67838 0.67871 0.67803 0.67820 1279 0 3
2022.03.03 10:30:00 0.67820 0.67850 0.67741 0.67850 1114 0 2
