<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.02.17 13:00:00 0.72086 0.72132 0.72037 0.72040 1091 0 1
2022.02.17 13:30:00 0.72037 0.72070 0.71986 0.72040 983 0 1
2022.02.17 14:00:00 0.72040 0.72097 0.72038 0.72087 1057 0 1
2022.02.17 14:30:00 0.72087 0.72158 0.72053 0.72138 1324 0 1
2022.02.17 15:00:00 0.72138 0.72174 0.71964 0.72014 2169 0 1
2022.02.17 15:30:00 0.72014 0.72086 0.71922 0.72019 2716 0 1
2022.02.17 16:00:00 0.72019 0.72166 0.72016 0.72096 3179 0 1
2022.02.17 16:30:00 0.72098 0.72148 0.71922 0.71960 4030 0 1
2022.02.17 17:00:00 0.71963 0.72133 0.71874 0.71952 3534 0 1
2022.02.17 17:30:00 0.71952 0.71995 0.71888 0.71990 2671 0 1
2022.02.17 18:00:00 0.71990 0.72041 0.71936 0.71958 2008 0 1
2022.02.17 18:30:00 0.71958 0.72004 0.71928 0.71942 1587 0 1
2022.02.17 19:00:00 0.71941 0.72009 0.71920 0.71983 1180 0 1
2022.02.17 19:30:00 0.71983 0.72041 0.71953 0.71968 854 0 1
2022.02.17 20:00:00 0.71968 0.71994 0.71952 0.71978 787 0 1
2022.02.17 20:30:00 0.71975 0.72028 0.71966 0.72019 533 0 1
2022.02.17 21:00:00 0.72019 0.72025 0.71949 0.71964 790 0 1
2022.02.17 21:30:00 0.71965 0.72009 0.71916 0.71927 932 0 1
2022.02.17 22:00:00 0.71934 0.71934 0.71825 0.71879 1309 0 1
2022.02.17 22:30:00 0.71878 0.71929 0.71867 0.71902 1337 0 1
2022.02.17 23:00:00 0.71901 0.71906 0.71861 0.71884 537 0 5
2022.02.17 23:30:00 0.71884 0.71893 0.71858 0.71863 427 0 9
2022.02.18 00:00:00 0.71843 0.71873 0.71824 0.71833 94 0 31
2022.02.18 00:30:00 0.71833 0.71852 0.71832 0.71835 176 0 13
2022.02.18 01:00:00 0.71836 0.71885 0.71832 0.71877 513 0 9
2022.02.18 01:30:00 0.71877 0.71902 0.71865 0.71866 230 0 11
2022.02.18 02:00:00 0.71865 0.71888 0.71792 0.71824 677 0 2
2022.02.18 02:30:00 0.71824 0.71840 0.71766 0.71774 762 0 2
2022.02.18 03:00:00 0.71775 0.71835 0.71775 0.71792 857 0 2
2022.02.18 03:30:00 0.71796 0.72008 0.71786 0.71939 2818 0 2
2022.02.18 04:00:00 0.71939 0.71994 0.71933 0.71946 1380 0 2
2022.02.18 04:30:00 0.71945 0.71978 0.71916 0.71963 915 0 2
2022.02.18 05:00:00 0.71963 0.72021 0.71938 0.72017 990 0 2
2022.02.18 05:30:00 0.72015 0.72045 0.72005 0.72034 698 0 2
2022.02.18 06:00:00 0.72039 0.72072 0.72009 0.72065 756 0 2
2022.02.18 06:30:00 0.72064 0.72089 0.72035 0.72043 864 0 2
2022.02.18 07:00:00 0.72043 0.72063 0.71973 0.71983 707 0 1
2022.02.18 07:30:00 0.71993 0.72050 0.71983 0.72023 517 0 1
2022.02.18 08:00:00 0.72022 0.72046 0.71976 0.72036 689 0 1
2022.02.18 08:30:00 0.72036 0.72123 0.72031 0.72103 631 0 1
2022.02.18 09:00:00 0.72101 0.72153 0.72092 0.72136 1249 0 1
2022.02.18 09:30:00 0.72136 0.72166 0.72097 0.72151 1172 0 1
2022.02.18 10:00:00 0.72152 0.72243 0.72139 0.72242 1853 0 1
2022.02.18 10:30:00 0.72244 0.72278 0.72185 0.72193 1886 0 1
2022.02.18 11:00:00 0.72192 0.72210 0.72085 0.72122 1313 0 1
2022.02.18 11:30:00 0.72123 0.72186 0.72122 0.72150 1342 0 1
2022.02.18 12:00:00 0.72150 0.72165 0.72044 0.72068 1517 0 1
2022.02.18 12:30:00 0.72071 0.72093 0.72028 0.72034 1054 0 1
2022.02.18 13:00:00 0.72034 0.72063 0.71982 0.71989 1007 0 1
2022.02.18 13:30:00 0.71992 0.72059 0.71992 0.72051 1088 0 1
2022.02.18 14:00:00 0.72052 0.72107 0.72033 0.72098 1080 0 1
2022.02.18 14:30:00 0.72098 0.72186 0.72086 0.72140 1138 0 1
2022.02.18 15:00:00 0.72140 0.72156 0.72021 0.72028 2518 0 1
2022.02.18 15:30:00 0.72031 0.72123 0.72013 0.72066 2235 0 1
2022.02.18 16:00:00 0.72066 0.72095 0.72000 0.72042 2179 0 1
