<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.04.18 22:00:00 1.36057 1.36093 1.35948 1.35988 1351 0 5
2022.04.18 22:30:00 1.35987 1.36119 1.35987 1.36042 1990 0 2
2022.04.18 23:00:00 1.36042 1.36046 1.35965 1.35972 732 0 6
2022.04.18 23:30:00 1.35972 1.36000 1.35923 1.35973 497 0 12
2022.04.19 00:00:00 1.35878 1.36014 1.35845 1.35946 423 0 33
2022.04.19 00:30:00 1.35941 1.36046 1.35813 1.35878 518 0 33
2022.04.19 01:00:00 1.35877 1.36017 1.35874 1.35927 589 0 21
2022.04.19 01:30:00 1.35925 1.35934 1.35871 1.35875 313 0 21
2022.04.19 02:00:00 1.35879 1.35935 1.35872 1.35902 823 0 11
2022.04.19 02:30:00 1.35902 1.35902 1.35832 1.35834 588 0 8
2022.04.19 03:00:00 1.35833 1.35862 1.35790 1.35801 1854 0 6
2022.04.19 03:30:00 1.35801 1.35885 1.35767 1.35872 1367 0 6
2022.04.19 04:00:00 1.35875 1.35911 1.35833 1.35844 1897 0 7
2022.04.19 04:30:00 1.35842 1.35875 1.35808 1.35831 1724 0 6
2022.04.19 05:00:00 1.35831 1.35840 1.35714 1.35727 987 0 4
2022.04.19 05:30:00 1.35727 1.35768 1.35613 1.35618 1328 0 7
2022.04.19 06:00:00 1.35618 1.35623 1.35503 1.35524 891 0 11
2022.04.19 06:30:00 1.35524 1.35584 1.35497 1.35554 924 0 9
2022.04.19 07:00:00 1.35556 1.35637 1.35556 1.35590 922 0 9
2022.04.19 07:30:00 1.35591 1.35608 1.35485 1.35508 1273 0 6
2022.04.19 08:00:00 1.35509 1.35548 1.35468 1.35523 1779 0 2
2022.04.19 08:30:00 1.35521 1.35567 1.35425 1.35507 2227 0 6
2022.04.19 09:00:00 1.35508 1.35566 1.35466 1.35521 3243 0 5
2022.04.19 09:30:00 1.35522 1.35643 1.35514 1.35622 3242 0 3
2022.04.19 10:00:00 1.35622 1.35761 1.35554 1.35725 3739 0 1
2022.04.19 10:30:00 1.35727 1.35842 1.35682 1.35842 3041 0 4
2022.04.19 11:00:00 1.35842 1.35935 1.35736 1.35877 2462 0 3
2022.04.19 11:30:00 1.35877 1.36056 1.35830 1.36051 3033 0 1
2022.04.19 12:00:00 1.36052 1.36103 1.35993 1.36020 2385 0 5
2022.04.19 12:30:00 1.36022 1.36092 1.35966 1.36009 1641 0 8
2022.04.19 13:00:00 1.36007 1.36007 1.35900 1.35956 1313 0 9
2022.04.19 13:30:00 1.35955 1.36005 1.35881 1.36004 1194 0 6
2022.04.19 14:00:00 1.36004 1.36103 1.35973 1.36093 1468 0 5
2022.04.19 14:30:00 1.36097 1.36212 1.36080 1.36181 1746 0 5
2022.04.19 15:00:00 1.36181 1.36332 1.36152 1.36320 3571 0 4
2022.04.19 15:30:00 1.36321 1.36416 1.36219 1.36369 3939 0 2
2022.04.19 16:00:00 1.36370 1.36421 1.36308 1.36323 3611 0 0
2022.04.19 16:30:00 1.36323 1.36458 1.36203 1.36265 5447 0 2
2022.04.19 17:00:00 1.36265 1.36290 1.36151 1.36170 4187 0 1
2022.04.19 17:30:00 1.36169 1.36226 1.36066 1.36161 4702 0 4
2022.04.19 18:00:00 1.36161 1.36343 1.36101 1.36291 3337 0 1
2022.04.19 18:30:00 1.36292 1.36343 1.36126 1.36133 2681 0 1
2022.04.19 19:00:00 1.36134 1.36384 1.36127 1.36338 2706 0 4
2022.04.19 19:30:00 1.36338 1.36345 1.36246 1.36269 1729 0 2
2022.04.19 20:00:00 1.36269 1.36395 1.36262 1.36352 2152 0 2
2022.04.19 20:30:00 1.36352 1.36354 1.36133 1.36133 1551 0 2
2022.04.19 21:00:00 1.36133 1.36253 1.36117 1.36166 2215 0 0
2022.04.19 21:30:00 1.36168 1.36250 1.36137 1.36234 1250 0 1
2022.04.19 22:00:00 1.36234 1.36255 1.36137 1.36156 1669 0 2
2022.04.19 22:30:00 1.36158 1.36162 1.36097 1.36119 2432 0 1
2022.04.19 23:00:00 1.36119 1.36186 1.36102 1.36173 1625 0 4
2022.04.19 23:30:00 1.36173 1.36181 1.36092 1.36092 778 0 13
2022.04.20 00:00:00 1.36061 1.36167 1.35979 1.36055 419 0 28
2022.04.20 00:30:00 1.36056 1.36138 1.36056 1.36117 787 0 28
2022.04.20 01:00:00 1.36082 1.36154 1.36066 1.36073 1175 0 25
2022.04.20 01:30:00 1.36074 1.36102 1.36022 1.36022 804 0 19
2022.04.20 02:00:00 1.36022 1.36086 1.36007 1.36010 728 0 8
2022.04.20 02:30:00 1.36012 1.36057 1.35997 1.36051 796 0 9
2022.04.20 03:00:00 1.36051 1.36082 1.35962 1.36001 1784 0 1
